Income,Limit,Rating,Age,Education,Student,Married,Balance
34.537,3271,250,57,17,No,Yes,Low
28.575,2959,231,60,11,No,No,Low
46.007,6637,491,42,14,No,Yes,High
69.251,6386,474,30,12,No,Yes,Medium
16.482,3326,268,41,15,No,No,Low
40.442,4828,369,81,8,No,No,Medium
35.177,2117,186,62,16,No,No,Low
91.362,9113,626,47,17,No,Yes,High
27.039,2161,173,40,17,No,No,Low
23.012,1410,137,81,16,No,No,Low
27.241,1402,128,67,15,No,Yes,Low
148.08,8157,599,83,13,No,Yes,Low
62.602,7056,481,84,11,No,No,Medium
11.808,1300,117,77,14,No,No,Low
29.564,2529,192,30,12,No,Yes,Low
27.578,2531,195,34,15,No,Yes,Low
26.427,5533,433,50,15,Yes,Yes,High
57.202,3411,259,72,11,No,No,Low
123.299,8376,610,89,17,Yes,No,High
18.145,3461,279,56,15,No,Yes,Low
23.793,3821,281,56,12,Yes,Yes,Medium
10.726,1568,162,46,19,No,Yes,Low
23.283,5443,407,49,13,No,Yes,Medium
21.455,5829,427,80,12,No,Yes,High
34.664,5835,452,77,15,No,Yes,Medium
44.473,3500,257,81,16,No,No,Low
54.663,4116,314,70,8,No,No,Low
36.355,3613,278,35,9,No,Yes,Low
21.374,2073,175,74,11,No,Yes,Low
107.841,10384,728,87,7,No,No,High
39.831,6045,459,32,12,Yes,Yes,High
91.876,6754,483,33,10,No,Yes,Medium
103.893,7416,549,84,17,No,No,Medium
19.636,4896,387,64,10,No,No,Medium
17.392,2748,228,32,14,No,Yes,Low
19.529,4673,341,51,14,No,No,Medium
17.055,5110,371,55,15,No,Yes,Medium
23.857,1501,150,56,16,No,Yes,Low
15.184,2420,192,69,11,No,Yes,Low
13.444,886,121,44,10,No,Yes,Low
63.931,5728,435,28,14,No,Yes,Medium
35.864,4831,353,66,13,No,Yes,Medium
41.419,2120,184,24,11,Yes,No,Low
92.112,4612,344,32,17,No,No,Low
55.056,3155,235,31,16,No,Yes,Low
19.537,1362,143,34,9,No,Yes,Low
31.811,4284,338,75,13,No,Yes,Low
56.256,5521,406,72,16,Yes,Yes,High
42.357,5550,406,83,12,No,Yes,Medium
53.319,3000,235,53,13,No,No,Low
12.238,4865,381,67,11,No,No,Medium
31.353,1705,160,81,14,No,Yes,Low
63.809,7530,515,56,12,No,Yes,High
13.676,2330,203,80,16,No,No,Low
76.782,5977,429,44,12,No,Yes,Medium
25.383,4527,367,46,11,No,Yes,Medium
35.691,2880,214,35,15,No,No,Low
29.403,2327,178,37,14,No,Yes,Low
27.47,2820,219,32,11,No,Yes,Low
27.33,6179,459,36,12,No,Yes,High
34.772,2021,167,57,9,No,No,Low
36.934,4270,299,63,9,No,Yes,Low
76.348,4697,344,60,18,No,No,Low
14.887,4745,339,58,12,No,Yes,Medium
121.834,10673,750,54,16,No,No,High
30.132,2168,206,52,17,No,No,Low
24.05,2607,221,32,18,No,Yes,Low
22.379,3965,292,34,14,No,Yes,Low
28.316,4391,316,29,10,No,No,Low
58.026,7499,560,67,11,No,No,High
10.635,3584,294,69,16,No,Yes,Low
46.102,5180,382,81,12,No,Yes,Medium
58.929,6420,459,66,9,No,Yes,Medium
80.861,4090,335,29,15,No,Yes,Low
158.889,11589,805,62,17,No,Yes,High
30.42,4442,316,30,14,No,No,Low
36.472,3806,309,52,13,No,No,Low
23.365,2179,167,75,15,No,No,Low
83.869,7667,554,83,11,No,No,Medium
58.351,4411,326,85,16,No,Yes,Low
55.187,5352,385,50,17,No,Yes,Medium
124.29,9560,701,52,17,Yes,No,High
28.508,3933,287,56,14,No,Yes,Low
130.209,10088,730,39,19,No,Yes,High
30.406,2120,181,79,14,No,Yes,Low
23.883,5384,398,73,16,No,Yes,Medium
93.039,7398,517,67,12,No,Yes,Medium
50.699,3977,304,84,17,No,No,Low
27.349,2000,169,51,16,No,Yes,Low
10.403,4159,310,43,7,No,Yes,Medium
23.949,5343,383,40,18,No,Yes,Medium
73.914,7333,529,67,15,No,Yes,High
21.038,1448,145,58,13,No,Yes,Low
68.206,6784,499,40,16,Yes,No,High
57.337,5310,392,45,7,No,No,Low
10.793,3878,321,29,13,No,No,Medium
23.45,2450,180,78,13,No,No,Low
10.842,4391,358,37,10,Yes,Yes,High
51.345,4327,320,46,15,No,No,Low
151.947,9156,642,91,11,No,Yes,Medium
24.543,3206,243,62,12,No,Yes,Low
29.567,5309,397,25,15,No,No,Medium
39.145,4351,323,66,13,No,Yes,Low
39.422,5245,383,44,19,No,No,Medium
34.909,5289,410,62,16,No,Yes,Medium
41.025,4229,337,79,19,No,Yes,Low
15.476,2762,215,60,18,No,No,Low
12.456,5395,392,65,14,No,Yes,Medium
10.627,1647,149,71,10,Yes,Yes,Low
38.954,5222,370,76,13,No,No,Medium
44.847,5765,437,53,13,Yes,No,High
98.515,8760,633,78,11,No,No,High
33.437,6207,451,44,9,Yes,No,High
27.512,4613,344,72,17,No,Yes,Medium
121.709,7818,584,50,6,No,Yes,Medium
15.079,5673,411,28,15,No,Yes,High
59.879,6906,527,78,15,No,No,High
66.989,5614,430,47,14,No,Yes,Low
69.165,4668,341,34,11,No,No,Low
69.943,7555,547,76,9,No,Yes,High
33.214,5137,387,59,9,No,No,Medium
25.124,4776,378,29,12,No,Yes,Medium
15.741,4788,360,39,14,No,Yes,Medium
11.603,2278,187,71,11,No,Yes,Low
69.656,8244,579,41,14,No,Yes,High
10.503,2923,232,25,18,No,Yes,Low
42.529,4986,369,37,11,No,Yes,Low
60.579,5149,388,38,15,No,Yes,Low
26.532,2910,236,58,19,No,Yes,Low
27.952,3557,263,35,13,No,Yes,Low
29.705,3351,262,71,14,No,Yes,Low
15.602,906,103,36,11,No,Yes,Low
20.918,1233,128,47,18,Yes,Yes,Low
58.165,6617,460,56,12,No,Yes,Medium
22.561,1787,147,66,15,No,No,Low
34.509,2001,189,80,18,No,Yes,Low
19.588,3211,265,59,14,No,No,Low
36.364,2220,188,50,19,No,No,Low
15.717,905,93,38,16,Yes,Yes,Low
22.574,1551,134,43,13,Yes,Yes,Low
10.363,2430,191,47,18,No,Yes,Low
28.474,3202,267,66,12,No,Yes,Low
72.945,8603,621,64,8,No,No,High
85.425,5182,402,60,12,No,Yes,Low
36.508,6386,469,79,6,No,Yes,High
58.063,4221,304,50,8,No,No,Low
25.936,1774,135,71,14,No,No,Low
15.629,2493,186,60,14,No,Yes,Low
41.4,2561,215,36,14,No,Yes,Low
33.657,6196,450,55,9,No,No,High
67.937,5184,383,63,12,No,Yes,Low
180.379,9310,665,67,8,Yes,Yes,High
10.588,4049,296,66,13,No,Yes,Low
29.725,3536,270,52,15,No,No,Low
27.999,5107,380,55,10,No,Yes,Medium
40.885,5013,379,46,13,No,Yes,Medium
88.83,4952,360,86,16,No,Yes,Low
29.638,5833,433,29,15,No,Yes,Medium
25.988,1349,142,82,12,No,No,Low
39.055,5565,410,48,18,No,Yes,Medium
15.866,3085,217,39,13,No,No,Low
44.978,4866,347,30,10,No,No,Low
30.413,3690,299,25,15,Yes,No,Medium
16.751,4706,353,48,14,Yes,No,High
30.55,5869,439,81,9,No,No,Medium
163.329,8732,636,50,14,No,Yes,Medium
23.106,3476,257,50,15,No,No,Low
41.532,5000,353,50,12,No,Yes,Medium
128.04,6982,518,78,11,No,Yes,Low
54.319,3063,248,59,8,Yes,No,Low
53.401,5319,377,35,12,No,No,Medium
36.142,1852,183,33,13,No,No,Low
63.534,8100,581,50,17,No,Yes,High
49.927,6396,485,75,17,No,Yes,Medium
14.711,2047,167,67,6,No,Yes,Low
18.967,1626,156,41,11,No,Yes,Low
18.036,1552,142,48,15,No,No,Low
60.449,3098,272,69,8,No,Yes,Low
16.711,5274,387,42,16,No,Yes,Medium
10.852,3907,296,30,9,No,No,Low
26.37,3235,268,78,11,No,Yes,Low
24.088,3665,287,56,13,No,Yes,Low
51.532,5096,380,31,15,No,Yes,Low
140.672,11200,817,46,9,No,Yes,High
42.915,2532,205,42,13,No,Yes,Low
27.272,1389,149,67,10,No,Yes,Low
65.896,5140,370,49,17,No,Yes,Low
55.054,4381,321,74,17,No,Yes,Low
20.791,2672,204,70,18,No,No,Low
24.919,5051,372,76,11,No,Yes,Medium
21.786,4632,355,50,17,No,Yes,Medium
31.335,3526,289,38,7,No,No,Low
59.855,4964,365,46,13,No,Yes,Low
44.061,4970,352,79,11,No,Yes,Low
82.706,7506,536,64,13,No,Yes,Medium
24.46,1924,165,50,14,No,Yes,Low
45.12,3762,287,80,8,No,Yes,Low
75.406,3874,298,41,14,No,Yes,Low
14.956,4640,332,33,6,No,No,Medium
75.257,7010,494,34,18,No,Yes,Medium
33.694,4891,369,52,16,Yes,No,High
23.375,5429,396,57,15,No,Yes,Medium
27.825,5227,386,63,11,No,Yes,Medium
92.386,7685,534,75,18,No,Yes,Medium
115.52,9272,656,69,14,No,No,High
14.479,3907,296,43,16,No,Yes,Low
52.179,7306,522,57,14,No,No,High
68.462,4712,340,71,16,No,Yes,Low
18.951,1485,129,82,13,No,No,Low
27.59,2586,229,54,16,No,Yes,Low
16.279,1160,126,78,13,Yes,Yes,Low
25.078,3096,236,27,15,No,Yes,Low
27.229,3484,282,51,11,No,No,Low
182.728,13913,982,98,17,No,Yes,High
31.029,2863,223,66,17,Yes,Yes,Low
17.765,5072,364,66,12,No,Yes,Medium
125.48,10230,721,82,16,No,Yes,High
49.166,6662,508,68,14,No,No,Medium
41.192,3673,297,54,16,No,Yes,Low
94.193,7576,527,44,16,No,Yes,Medium
20.405,4543,329,72,17,Yes,No,High
12.581,3976,291,48,16,No,Yes,Low
62.328,5228,377,83,15,No,No,Low
21.011,3402,261,68,17,No,Yes,Low
24.23,4756,351,64,15,No,Yes,Medium
24.314,3409,270,23,7,No,Yes,Low
32.856,5884,438,68,13,No,No,Medium
12.414,855,119,32,12,No,Yes,Low
41.365,5303,377,45,14,No,No,Medium
149.316,10278,707,80,16,No,No,High
27.794,3807,301,35,8,No,Yes,Low
13.234,3922,299,77,17,No,Yes,Low
14.595,2955,260,37,9,No,Yes,Low
10.735,3746,280,44,17,No,Yes,Low
48.218,5199,401,39,10,No,Yes,Medium
30.012,1511,137,33,17,No,Yes,Low
21.551,5380,420,51,18,No,Yes,Medium
160.231,10748,754,69,17,No,No,High
13.433,1134,112,70,14,No,Yes,Low
48.577,5145,389,71,13,No,Yes,Medium
30.002,1561,155,70,13,No,Yes,Low
61.62,5140,374,71,9,No,Yes,Low
104.483,7140,507,41,14,No,Yes,Medium
41.868,4716,342,47,18,No,No,Low
12.068,3873,292,44,18,No,Yes,Low
180.682,11966,832,58,8,No,Yes,High
34.48,6090,442,36,14,No,No,Medium
39.609,2539,188,40,14,No,Yes,Low
30.111,4336,339,81,18,No,Yes,Low
12.335,4471,344,79,12,No,Yes,Medium
53.566,5891,434,82,10,No,No,Medium
53.217,4943,362,46,16,No,Yes,Low
26.162,5101,382,62,19,No,No,Medium
64.173,6127,433,80,10,No,Yes,Medium
128.669,9824,685,67,16,No,Yes,High
113.772,6442,489,69,15,Yes,Yes,Medium
61.069,7871,564,56,14,No,Yes,High
23.793,3615,263,70,14,No,No,Low
89,5759,440,37,6,No,No,Low
71.682,8028,599,57,16,No,Yes,High
35.61,6135,466,40,12,No,No,Medium
39.116,2150,173,75,15,No,No,Low
19.782,3782,293,46,16,Yes,No,Medium
55.412,5354,383,37,16,Yes,Yes,High
29.4,4840,368,76,18,No,Yes,Medium
20.974,5673,413,44,16,No,Yes,High
87.625,7167,515,46,10,No,No,Medium
28.144,1567,142,51,10,No,Yes,Low
19.349,4941,366,33,19,No,Yes,Medium
53.308,2860,214,84,10,No,Yes,Low
115.123,7760,538,83,14,No,No,Medium
101.788,8029,574,84,11,No,Yes,Medium
24.824,5495,409,33,9,Yes,No,High
14.292,3274,282,64,9,No,Yes,Low
20.088,1870,180,76,16,No,No,Low
26.4,5640,398,58,15,No,No,Medium
19.253,3683,287,57,10,No,No,Low
16.529,1357,126,62,9,No,No,Low
37.878,6827,482,80,13,No,No,High
83.948,7100,503,44,18,No,No,Medium
135.118,10578,747,81,15,No,Yes,High
73.327,6555,472,43,15,No,No,Medium
25.974,2308,196,24,10,No,No,Low
17.316,1335,138,65,13,No,No,Low
49.794,5758,410,40,8,No,No,Medium
12.096,4100,307,32,13,No,Yes,Medium
13.364,3838,296,65,17,No,No,Low
57.872,4171,321,67,12,No,Yes,Low
37.728,2525,192,44,13,No,Yes,Low
18.701,5524,415,64,7,No,No,Medium
